Población extranjera a 1 de enero. Por distritos. 2016
Barcelona
Institut d'Estadística de Catalunya
http://www.idescat.cat/poblacioestrangera/?b=10&lang=es&t=2016
Categoria,(1) Población,Población extranjera. Total,Población extranjera. % vert.,Población extranjera. % sobre (1)
Ciutat Vella,100070,43106,16.19,43.08
Eixample,264305,49196,18.47,18.61
Sants-Montjuïc,180977,33724,12.66,18.63
Les Corts,81642,9062,3.40,11.10
Sarrià-Sant Gervasi,148026,16583,6.23,11.20
Gràcia,120918,18441,6.92,15.25
Horta-Guinardó,167268,19463,7.31,11.64
Nou Barris,164881,24347,9.14,14.77
Sant Andreu,146731,16632,6.25,11.34
Sant Martí,233928,35769,13.43,15.29
Total,1608746,266323,100.00,16.55

